Date,Amount,Type,Category,Description
05-07-2025,32000,Credit,Income,Salary
06-07-2025,-850,Debit,Groceries,Supermarket
07-07-2025,-120,Debit,Food,Coffee
08-07-2025,-9000,Debit,Rent,Apartment Rent
10-07-2025,-650,Debit,Transport,Metro Card
11-07-2025,-450,Debit,Entertainment,Movie Tickets
12-07-2025,-1100,Debit,Electricity,Electricity Bill
14-07-2025,-500,Debit,Internet,Broadband Bill
16-07-2025,-300,Debit,Food,Street Food
18-07-2025,-2200,Debit,Shopping,Shoes
20-07-2025,-900,Debit,Groceries,Supermarket
22-07-2025,-200,Debit,Transport,Auto Ride
25-07-2025,-1500,Debit,Health,Pharmacy
27-07-2025,-800,Debit,Groceries,Supermarket
30-07-2025,-499,Debit,Subscription,Netflix
,,,,
05-08-2025,32000,Credit,Income,Salary
06-08-2025,-870,Debit,Groceries,Supermarket
07-08-2025,-140,Debit,Food,Cafe
08-08-2025,-9000,Debit,Rent,Apartment Rent
10-08-2025,-650,Debit,Transport,Metro Card
11-08-2025,-400,Debit,Entertainment,Movie
12-08-2025,-1150,Debit,Electricity,Electricity Bill
14-08-2025,-500,Debit,Internet,Broadband Bill
15-08-2025,-2500,Debit,Shopping,Headphones
17-08-2025,-350,Debit,Food,Burger
19-08-2025,-900,Debit,Groceries,Supermarket
21-08-2025,-180,Debit,Transport,Cab
23-08-2025,-1200,Debit,Food,Dinner
26-08-2025,-820,Debit,Groceries,Supermarket
29-08-2025,-499,Debit,Subscription,Netflix
,,,,
05-09-2025,33000,Credit,Income,Salary
06-09-2025,-890,Debit,Groceries,Supermarket
07-09-2025,-150,Debit,Food,Coffee
08-09-2025,-9000,Debit,Rent,Apartment Rent
10-09-2025,-650,Debit,Transport,Metro Card
11-09-2025,-500,Debit,Entertainment,Concert
12-09-2025,-1200,Debit,Electricity,Electricity Bill
14-09-2025,-500,Debit,Internet,Broadband Bill
15-09-2025,-3400,Debit,Shopping,Smartwatch
17-09-2025,-420,Debit,Food,Pizza
19-09-2025,-920,Debit,Groceries,Supermarket
21-09-2025,-200,Debit,Transport,Auto Ride
23-09-2025,-900,Debit,Food,Dining
26-09-2025,-850,Debit,Groceries,Supermarket
29-09-2025,-499,Debit,Subscription,Netflix
,,,,
05-10-2025,33000,Credit,Income,Salary
06-10-2025,-870,Debit,Groceries,Supermarket
07-10-2025,-160,Debit,Food,Coffee
08-10-2025,-9000,Debit,Rent,Apartment Rent
09-10-2025,-3000,Debit,Travel,Train Tickets
11-10-2025,-650,Debit,Transport,Metro Card
12-10-2025,-1150,Debit,Electricity,Electricity Bill
14-10-2025,-500,Debit,Internet,Broadband Bill
16-10-2025,-350,Debit,Food,Restaurant
18-10-2025,-4500,Debit,Shopping,Festival Clothes
20-10-2025,-900,Debit,Groceries,Supermarket
22-10-2025,-210,Debit,Transport,Cab
24-10-2025,-1000,Debit,Food,Dinner
27-10-2025,-820,Debit,Groceries,Supermarket
30-10-2025,-499,Debit,Subscription,Netflix
,,,,
05-11-2025,34000,Credit,Income,Salary
06-11-2025,-900,Debit,Groceries,Supermarket
07-11-2025,-150,Debit,Food,Coffee
08-11-2025,-9000,Debit,Rent,Apartment Rent
10-11-2025,-650,Debit,Transport,Metro Card
11-11-2025,-500,Debit,Entertainment,Movie
12-11-2025,-1200,Debit,Electricity,Electricity Bill
14-11-2025,-500,Debit,Internet,Broadband Bill
16-11-2025,-380,Debit,Food,Burger
18-11-2025,-6000,Debit,Shopping,Mobile Phone
20-11-2025,-950,Debit,Groceries,Supermarket
22-11-2025,-250,Debit,Transport,Auto Ride
24-11-2025,-1300,Debit,Food,Dinner
27-11-2025,-850,Debit,Groceries,Supermarket
29-11-2025,-499,Debit,Subscription,Netflix
,,,,
05-12-2025,35000,Credit,Income,Salary
06-12-2025,-920,Debit,Groceries,Supermarket
07-12-2025,-170,Debit,Food,Coffee
08-12-2025,-9000,Debit,Rent,Apartment Rent
10-12-2025,-650,Debit,Transport,Metro Card
11-12-2025,-600,Debit,Entertainment,Concert
12-12-2025,-1250,Debit,Electricity,Electricity Bill
14-12-2025,-500,Debit,Internet,Broadband Bill
16-12-2025,-400,Debit,Food,Restaurant
18-12-2025,-7000,Debit,Shopping,Laptop
20-12-2025,-1000,Debit,Groceries,Supermarket
22-12-2025,-300,Debit,Transport,Cab
24-12-2025,-2000,Debit,Food,Christmas Dinner
27-12-2025,-900,Debit,Groceries,Supermarket
29-12-2025,-499,Debit,Subscription,Netflix
